8, 6848, 13, 32, 7305, 7007
61, 9147, 16, 32, 49, 2441
53, 7480, 92, 32, 3939, 1200
13, 3062, 102, 32, 2833, 589
89, 7410, 113, 32, 2525, 5529
98, 7193, 114, 32, 7769, 9322
42, 7149, 45, 33, 8264, 8615
16, 264, 56, 33, 6038, 623
97, 8057, 14, 34, 6450, 7390
10, 9453, 30, 34, 7726, 7764
23, 6578, 33, 34, 361, 9720
66, 458, 80, 34, 9628, 7655
17, 9167, 88, 34, 4868, 38
37, 247, 90, 34, 9668, 7600
68, 2057, 21, 35, 4717, 8315
74, 734, 44, 35, 5544, 9472
31, 9122, 73, 35, 1928, 8806
3, 8148, 34, 36, 4332, 7885
63, 570, 58, 36, 9413, 6941
60, 1512, 85, 36, 9610, 456
7, 8050, 10, 37, 7114, 1827
40, 8528, 35, 37, 3625, 356
26, 1676, 81, 37, 9697, 6799
33, 561, 27, 38, 9404, 9858
49, 864, 68, 38, 9876, 7836
13, 589, 25, 39, 7565, 4679
56, 5322, 59, 39, 5947, 6731
65, 6008, 18, 40, 5899, 1833
17, 38, 26, 40, 142, 1567
51, 3568, 75, 40, 1193, 7079
82, 5167, 82, 40, 5317, 3976
12, 8442, 118, 40, 2251, 1709
93, 6023, 119, 40, 3244, 2697
57, 8765, 57, 41, 3567, 3578
5, 5982, 43, 42, 5673, 9902
43, 6545, 95, 43, 9426, 9611
4, 1382, 107, 43, 1349, 3510
72, 3291, 111, 43, 2260, 1319
8, 7007, 17, 44, 6169, 4765
13, 4679, 22, 44, 5110, 323
44, 6446, 48, 44, 8274, 9841
27, 6226, 91, 44, 500, 9458
29, 4239, 112, 44, 1028, 6721
6, 2203, 50, 46, 8456, 2258
20, 6254, 62, 46, 5203, 3124
28, 9821, 76, 48, 4818, 8586
32, 6098, 105, 48, 6874, 4408
82, 3976, 70, 49, 8292, 990
56, 6731, 103, 49, 5674, 9423
30, 8167, 97, 50, 2686, 1814
8, 4765, 8, 51, 4613, 8756
36, 4768, 11, 52, 9218, 8095
50, 3965, 89, 52, 4254, 4232
77, 9717, 46, 53, 5763, 4080
93, 2697, 12, 54, 1082, 8747
22, 2126, 31, 54, 5019, 2261
51, 7079, 37, 54, 6400, 3654
2, 8888, 61, 54, 6587, 3063
31, 8806, 67, 55, 3640, 4303
40, 356, 72, 55, 4021, 7800
5, 9902, 116, 55, 6573, 6033
20, 3124, 39, 56, 4677, 5324
74, 9472, 51, 58, 9076, 670
9, 1268, 54, 58, 4096, 2103
98, 9322, 71, 58, 3702, 8106
23, 9720, 117, 58, 9450, 3443
82, 990, 32, 60, 838, 5799
17, 1567, 38, 60, 5909, 8776
57, 3578, 120, 60, 4249, 7746

Total Wait: 3.6460507297218996
Start Time: Wed Apr 06 22:16:08 SGT 2016
End Time: Wed Apr 06 22:16:12 SGT 2016
Duration (sec): 3.577
